"station_name","station_no","ts_id","ts_name","parametertype_name","from","to"
"Unnamed Wetland at Randall WPA-1","WE2000021",395768010,"40.Year.Mean","Level","2020-01-01T06:00:00.000Z","2025-01-01T06:00:00.000Z"
"Unnamed Wetland at Sibley State Park-3","WE2000013",395786010,"06.SensorCorrections","Level","2020-10-28T21:14:00.000Z","2025-05-28T17:22:00.000Z"
"Unnamed Wetland at Sibley State Park-3","WE2000013",395792010,"05.MeasuredStage","Level","2020-10-28T21:14:00.000Z","2025-05-28T17:22:00.000Z"
"Unnamed Wetland at Sibley State Park-3","WE2000013",395849010,"01.Logger.O","Water Temperature C","2020-10-28T21:30:00.000Z","2024-10-12T21:45:00.000Z"
"Unnamed Wetland at Sibley State Park-3","WE2000013",395857010,"08.Provisional.Edited","Water Temperature C","2020-10-28T21:30:00.000Z","2024-10-12T21:45:00.000Z"
"Unnamed Wetland at Clinton Prairie SNA-1","WE2000020",395864010,"02.Merged","Level","2020-09-22T19:00:00.000Z","2025-04-15T23:45:00.000Z"
"Unnamed Wetland at Clinton Prairie SNA-1","WE2000020",395867010,"05.MeasuredStage","Level","2021-04-07T18:12:00.000Z","2024-05-23T14:54:00.000Z"
"Unnamed Wetland at Clinton Prairie SNA-1","WE2000020",395880010,"01.Telemetry.DCP","Logger Battery Voltage","",""
"Unnamed Wetland at Clinton Prairie SNA-1","WE2000020",395889010,"08.Provisional.Edited","Water Temperature C","2020-09-22T19:00:00.000Z","2025-04-15T23:45:00.000Z"
"Unnamed Wetland at Freese WPA-1","WE2000017",391879010,"40.Year.Mean","Level","2020-01-01T06:00:00.000Z","2025-01-01T06:00:00.000Z"
"Unnamed Wetland at Freese WPA-1","WE2000017",391893010,"20.Day.Mean","Level","2020-08-05T06:00:00.000Z","2024-05-22T06:00:00.000Z"
"Unnamed Wetland at Murphy Hanrehan Park Reserve-1","WE2000019",391900010,"02.Merged","Level","2020-07-22T16:15:00.000Z","2025-04-09T20:45:00.000Z"
"Unnamed Wetland at Murphy Hanrehan Park Reserve-2","WE2000018",391918010,"01.Logger.O","Level","2020-07-22T18:45:00.000Z","2025-04-09T20:00:00.000Z"
"Unnamed Wetland at Murphy Hanrehan Park Reserve-2","WE2000018",391925010,"09.Archive","Level","2020-07-22T18:45:00.000Z","2021-10-21T20:00:00.000Z"
"Unnamed Wetland at Murphy Hanrehan Park Reserve-2","WE2000018",391930010,"04.Edited","Level","2020-07-22T18:45:00.000Z","2025-04-09T20:00:00.000Z"
"Unnamed Wetland at Murphy Hanrehan Park Reserve-2","WE2000018",391936010,"01.Telemetry.DCP","Logger Battery Voltage","",""
"QWTA nr Audubon, Shallow","278557",325579010,"09.Archive","Level","2018-05-24T15:00:00.000Z","2019-10-23T18:00:00.000Z"
"QWTA nr Audubon, Shallow","278557",325585010,"05.Measured","Water Temperature C","",""
"QWTA nr Audubon, Shallow","278557",325586010,"20.Day.Mean","Water Temperature C","2018-05-24T06:00:00.000Z","2024-10-23T06:00:00.000Z"
"Unnamed Wetland at Randall WPA-1","WE2000021",436340010,"20.Day.Mean","Water Temperature C","2020-10-28T06:00:00.000Z","2024-09-30T06:00:00.000Z"
"Unnamed Wetland at Grey Eagle WMA-2","WE2000006",436348010,"01.Logger.O","Water Temperature C","2022-05-18T06:15:00.000Z","2025-05-07T13:00:00.000Z"
"Unnamed Wetland at Grey Eagle WMA-1","WE2000005",436351010,"08.Provisional.Edited","Water Temperature C","2021-10-19T23:30:00.000Z","2025-05-07T13:15:00.000Z"
"Unnamed Wetland at Lake Maria State Park-3","WE2000003",436356010,"08.Provisional.Edited","Water Temperature C","2022-05-26T06:15:00.000Z","2025-04-15T21:15:00.000Z"
"Unnamed Wetland at Sibley State Park-2","WE2000011",436369010,"20.Day.Mean","Water Temperature C","",""
"Unnamed Wetland at Prairie WMA-1","WE2000008",436383010,"01.Logger.O","Water Temperature C","2022-05-10T06:15:00.000Z","2024-12-16T19:15:00.000Z"
