well_name,station_no,ground_elev,ground_elev_hi,ground_elev_lo
Allen Lake 1,WE2000033,97.78,NA,NA
Anderson 1,278557,1368.32,NA,NA
Bear Head 1,WE2000035,98.28,98.33,98.23
Becker County 1,WE2000022,1611.27,NA,NA
Becker County 2,WE2000023,1535.29,1535.49,1535.09
Carex WMA 1,WE2000016,1233.73,NA,NA
Cedar Creek 1,WE2000031,97.36,NA,NA
Chippewa 1,WE2000034,76.95,NA,NA
Clinton Prairie SNA 1,WE2000020,1167,NA,NA
Freese WPA 1,WE2000017,1231.16,NA,NA
Glacial Lakes State Park 1,WE2000007,1229.65,NA,NA
Grey Eagle WMA 1,WE2000005,1217.73,NA,NA
Grey Eagle WMA 2,WE2000006,1210.74,NA,NA
Iron Springs 1,WE2000039,97.1,NA,NA
Itasca State Park 1,WE2000024,1602.73,1602.93,1602.53
Itasca State Park 2,WE2000027,96.59,NA,NA
Lake Maria State Park 1,WE2000001,982.92,NA,NA
Lake Maria State Park 2,WE2000002,1004.05,NA,NA
Lake Maria State Park 3,WE2000003,1027.24,1027.25,1027.23
Lake Maria State Park 4,WE2000004,1024.77,1024.97,1024.57
Little Jo WMA 1,WE2000014,1288.28,NA,NA
Maplewood 1,WE2000036,91.54,NA,NA
Mille Lacs Kathio State Park 1,WE2000037,96.7,NA,NA
Mille Lacs Kathio State Park 2,WE2000038,97.07,NA,NA
Murphy Hanrehan Park Reserve 1,WE2000019,958.57,NA,NA
Murphy Hanrehan Park Reserve 2,WE2000018,979.04,NA,NA
Pembina 1,WE2000042,92.96,93.05999999999999,92.86
Prairie Marshes WMA 1,WE2000015,1537.04,1537.1399999999999,1536.94
Prairie WMA 1,WE2000008,1084.06,NA,NA
Prairie WMA 2,WE2000009,1085.16,NA,NA
Randall WPA 1,WE2000021,1246.13,NA,NA
Rum River 1,WE2000030,95.89,NA,NA
Santiago WMA 1,WE2000026,98.34,NA,NA
Savannah Portage 1,WE2000032,97.64,NA,NA
Sherburne 1,WE2000028,98.96,NA,NA
Sibley State Park 1,WE2000010,1242.74,NA,NA
Sibley State Park 3,WE2000013,1246.35,NA,NA
Sibley State Park 4,WE2000012,1240.94,NA,NA
St. Croix State Park 1,WE2000025,97.67,NA,NA
St. Wendel 1,WE2000029,97.72,NA,NA
Three Island 1,WE2000040,98.27,NA,NA
Three Island 2,WE2000041,97.94,NA,NA
